answer_id,timestamp,prefecture,serials_nagoya1,serials_nagoya2,serials_kobe1,serials_kobe2,serials_saitama1,serials_saitama2,tickets_nagoya1,tickets_nagoya2,tickets_kobe1,tickets_kobe2,tickets_saitama1,tickets_saitama2
567,2017/06/03 2:25:30 午後 GMT+9,千葉県,1,1,1,1,1,1,0,0,0,0,0,0
568,2017/06/03 2:31:35 午後 GMT+9,,2,2,2,2,0,2,0,0,0,0,0,0
569,2017/06/03 2:36:29 午後 GMT+9,大阪府,1,0,1,0,0,0,2,0,2,0,0,0
570,2017/06/03 2:52:21 午後 GMT+9,,1,1,1,1,1,1,0,0,0,0,0,0
571,2017/06/03 2:56:31 午後 GMT+9,埼玉県,0,0,0,0,0,1,0,0,0,0,0,1
572,2017/06/03 3:09:20 午後 GMT+9,神奈川県,1,1,1,1,2,2,0,0,0,0,0,2
573,2017/06/03 3:16:51 午後 GMT+9,愛知県,1,0,0,0,0,0,1,0,0,0,0,0
574,2017/06/03 3:17:28 午後 GMT+9,熊本県,2,2,1,1,1,1,0,0,0,0,2,0
575,2017/06/03 3:21:47 午後 GMT+9,千葉県,4,4,4,4,5,5,2,0,0,2,0,2
576,2017/06/03 3:36:42 午後 GMT+9,愛知県,1,2,1,2,1,2,0,0,0,0,1,0
577,2017/06/03 3:57:08 午後 GMT+9,神奈川県,1,1,1,1,3,3,0,0,0,0,2,0
578,2017/06/03 4:00:32 午後 GMT+9,東京都,1,1,1,1,3,3,0,0,0,0,0,1
579,2017/06/03 4:30:30 午後 GMT+9,北海道,0,0,0,0,3,3,0,0,0,0,1,0
580,2017/06/03 5:01:02 午後 GMT+9,,1,1,1,1,2,2,0,0,0,0,2,0
581,2017/06/03 5:12:45 午後 GMT+9,,0,7,0,0,5,5,0,0,0,0,0,2
582,2017/06/03 5:33:39 午後 GMT+9,東京都,0,0,0,0,1,1,0,0,0,0,1,0
583,2017/06/03 5:52:31 午後 GMT+9,愛知県,3,3,1,1,1,1,2,0,0,0,0,1
584,2017/06/03 6:05:42 午後 GMT+9,埼玉県,1,1,0,0,1,1,0,0,0,0,1,0
585,2017/06/03 6:07:41 午後 GMT+9,神奈川県,2,2,1,1,2,2,0,0,0,0,0,2
586,2017/06/03 6:17:38 午後 GMT+9,埼玉県,0,0,0,0,0,2,0,0,0,0,0,2
587,2017/06/03 6:27:36 午後 GMT+9,兵庫県,1,1,1,1,0,1,0,0,0,0,0,1
589,2017/06/03 6:40:52 午後 GMT+9,岩手県,1,1,1,1,1,1,0,0,0,0,2,0
590,2017/06/03 7:35:38 午後 GMT+9,,1,1,1,1,6,0,0,0,0,0,0,0
591,2017/06/03 7:48:05 午後 GMT+9,埼玉県,0,0,0,0,5,5,0,0,0,0,0,2
592,2017/06/03 7:48:44 午後 GMT+9,山口県,0,0,0,2,0,0,0,0,0,2,0,0
593,2017/06/03 7:57:45 午後 GMT+9,,1,1,1,1,5,5,0,0,2,0,0,2
594,2017/06/03 8:01:44 午後 GMT+9,静岡県,2,2,1,1,2,2,0,0,0,2,2,0
